repo	agent_project	confidence
Arize-ai/phoenix	no	high
michaelalbada/BuildingApplicationsWithAIAgents	no	high
bcefghj/multi-agent-ecommerce-system	yes	high
Floe-Labs/floe-guard	no	high
girijesh-ai/ai-interview-codex	no	high
agulli/atlas-agents	no	medium
vibesurf-ai/VibeSurf	yes	high
runagent-dev/runagent	no	high
wjayesh/mahilo	no	medium
NanGePlus/LangGraphChatBot	yes	medium
datawhalechina/easy-langent	no	medium
modelscope/easydistill	no	high
Annyfee/agent-craft	no	high
zamalali/langchain-code	no	medium
SponsioLabs/Sponsio	yes	medium
Tswoen/Paper-Agent	yes	high
brainqub3/jar3d_meta_expert	yes	high
oracle/agent-spec	no	high
john-adeojo/graph_websearch_agent	yes	high
Arvo-AI/aurora	yes	medium
Repello-AI/Agent-Wiz	no	medium
leonyangdev/lc-studylab	no	high
skygazer42/GustoBot	yes	high
Sean-V-Dev/HMLR-Agentic-AI-Memory-System	no	high
Xeron2000/openOii	yes	high
togethercomputer/open_deep_research	yes	high
amanv1906/GENAI-CareerAssistant-Multiagent	yes	high
kaymen99/sales-outreach-automation-langgraph	yes	high
bcefghj/smart-cs-multi-agent	yes	high
NVlabs/SpatialClaw	yes	high
temporalio/samples-python	no	high
NanGePlus/ReActAgentsTest	no	medium
cnunescoelho/kiroku	yes	high
NVIDIA-AI-IOT/remembr	yes	medium
CronusL-1141/AI-company	yes	high
EthanXiang777/circuit-framework	yes	medium
langchain-ai/langchain-aws	no	high
GoogleCloudPlatform/cymbal-air-toolbox-demo	yes	medium
ivebotunac/PrimoAgent	yes	high
Negai-ai/AgentClaw	yes	high
monocle2ai/monocle	no	high
lhh737/LangChain-ReAct-Agent	yes	high
ttguy0707/CyberClaw	no	medium
verl-project/verl-recipe	no	high
didilili/shopkeeper-agent	yes	high
Mason-zy/Langchain1.0-Study	no	high
Moh4696/build-ai-agents-free	no	high
kmeanskaran/stock-agent-ops	yes	high
ATaC-team/ATaC	no	high
